file,line,item,canvas,type,scope,prop
editor/EHR/tarzanAxisSandbox.py,813,c_rectangle_line_813,c,rectangle,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,820,c_rectangle_line_820,c,rectangle,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,821,c_rectangle_line_821,c,rectangle,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,822,c_rectangle_line_822,c,rectangle,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,827,c_line_line_827,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,828,c_text_line_828,c,text,editor_ehr_tarzanaxissandbox,text
editor/EHR/tarzanAxisSandbox.py,834,c_line_line_834,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,835,c_text_line_835,c,text,editor_ehr_tarzanaxissandbox,text
editor/EHR/tarzanAxisSandbox.py,841,c_line_line_841,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,850,c_oval_line_850,c,oval,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,853,c_line_line_853,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,854,c_line_line_854,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,855,c_text_line_855,c,text,editor_ehr_tarzanaxissandbox,text
editor/EHR/tarzanAxisSandbox.py,856,c_text_line_856,c,text,editor_ehr_tarzanaxissandbox,text
editor/EHR/tarzanAxisSandbox.py,862,c_rectangle_line_862,c,rectangle,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,868,c_line_line_868,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,880,c_line_line_880,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,882,c_line_line_882,c,line,editor_ehr_tarzanaxissandbox,coords
editor/EHR/tarzanAxisSandbox.py,883,c_text_line_883,c,text,editor_ehr_tarzanaxissandbox,text
editor/EHR/tarzanAxisSandbox.py,884,c_text_line_884,c,text,editor_ehr_tarzanaxissandbox,text
editor/EHR/tarzanEhrUi.py,760,canvas_image_line_760,canvas,image,editor_ehr_tarzanehrui,coords
editor/EHR/tarzanEhrUi.py,775,item,canvas,text,editor_ehr_tarzanehrui,text
editor/EHR/tarzanEhrUi.py,810,save_button_window,canvas,window,editor_ehr_tarzanehrui,coords
editor/EHR/tarzanEhrUi.py,968,row_window,protocol_canvas,window,editor_ehr_tarzanehrui,coords
editor/EHR/tarzanEhrUi.py,1010,protocol_canvas_rectangle_line_1010,protocol_canvas,rectangle,editor_ehr_tarzanehrui,coords
