page,component,type,props,source,line
rrp_main,va_p1_axis,Variable (int32),['val'],rrp_main.txt,54
rrp_main,va_p2_axis,Variable (int32),['val'],rrp_main.txt,60
rrp_main,va_tmp,Variable (int32),['val'],rrp_main.txt,66
rrp_main,va_p2_dir,Variable (int32),['val'],rrp_main.txt,72
rrp_main,va_p1_dir,Variable (int32),['val'],rrp_main.txt,78
rrp_main,va_p1_val,Variable (int32),['val'],rrp_main.txt,84
rrp_main,va_p2_val,Variable (int32),['val'],rrp_main.txt,90
rrp_main,t_p1_val,Text,['txt'],rrp_main.txt,96
rrp_main,t_p2_val,Text,['txt'],rrp_main.txt,118
rrp_main,t_buf_p1,Text,['txt'],rrp_main.txt,140
rrp_main,t_buf_p2,Text,['txt'],rrp_main.txt,164
rrp_main,h_p1_sens,Slider,['val'],rrp_main.txt,188
rrp_main,h_p2_sens,Slider,['val'],rrp_main.txt,214
rrp_main,b_home,Button,"['val', 'pic']",rrp_main.txt,240
rrp_main,b_stop,Button,"['val', 'pic']",rrp_main.txt,271
rrp_main,b_p1_cam_v,Dual-state Button,['val'],rrp_main.txt,338
rrp_main,b_p2_cam_v,Dual-state Button,['val'],rrp_main.txt,391
rrp_main,b_p1_dir,Dual-state Button,['val'],rrp_main.txt,444
rrp_main,b_p2_dir,Dual-state Button,['val'],rrp_main.txt,479
rrp_main,b_p1_cam_t,Dual-state Button,['val'],rrp_main.txt,514
rrp_main,b_p1_cam_f,Dual-state Button,['val'],rrp_main.txt,567
rrp_main,b_p1_cam_h,Dual-state Button,['val'],rrp_main.txt,620
rrp_main,b_p1_arm_h,Dual-state Button,['val'],rrp_main.txt,673
rrp_main,b_p1_arm_v,Dual-state Button,['val'],rrp_main.txt,726
rrp_main,b_p2_cam_t,Dual-state Button,['val'],rrp_main.txt,779
rrp_main,b_p2_cam_f,Dual-state Button,['val'],rrp_main.txt,832
rrp_main,b_p2_cam_h,Dual-state Button,['val'],rrp_main.txt,885
