raw_signal,logical_signal
axis_0_value,axis_0_value
axis_1_value,axis_1_value
axis_2_value,axis_2_value
axis_3_value,axis_3_value
axis_4_value,axis_4_value
axis_5_value,axis_5_value
boot.Event.en,nextion_boot_event_en
boot.Event.tim,nextion_boot_event_tim
boot.p0.pic,nextion_boot_p0_pic
boot.tm0.en,nextion_boot_tm0_en
boot.tm0.tim,nextion_boot_tm0_tim
boot.va0.val,nextion_boot_va0_val
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_826_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_826_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_833_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_833_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_840_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_840_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_852_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_852_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_853_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_853_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_867_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_867_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_879_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_879_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_881_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_line_line_881_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_oval_line_849_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_oval_line_849_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_812_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_812_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_819_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_819_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_820_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_820_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_821_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_821_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_861_coords,canvas_editor_editor_ehr_tarzanaxissandbox_c_rectangle_line_861_coords
canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_827_text,canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_827_text
canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_834_text,canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_834_text
canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_854_text,canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_854_text
canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_855_text,canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_855_text
canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_882_text,canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_882_text
canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_883_text,canvas_editor_editor_ehr_tarzanaxissandbox_c_text_line_883_text
canvas_editor_editor_ehr_tarzanehrui_c_image_line_2734_coords,canvas_editor_editor_ehr_tarzanehrui_c_image_line_2734_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1910_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1910_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1919_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1919_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1930_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1930_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1937_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1937_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1951_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1951_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1952_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1952_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1966_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1966_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1978_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1978_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_1980_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_1980_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2697_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2697_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2707_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2707_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2710_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2710_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2749_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2749_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2757_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2757_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2765_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2765_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2778_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2778_coords
canvas_editor_editor_ehr_tarzanehrui_c_line_line_2801_coords,canvas_editor_editor_ehr_tarzanehrui_c_line_line_2801_coords
canvas_editor_editor_ehr_tarzanehrui_c_oval_line_1947_coords,canvas_editor_editor_ehr_tarzanehrui_c_oval_line_1947_coords
canvas_editor_editor_ehr_tarzanehrui_c_oval_line_2792_coords,canvas_editor_editor_ehr_tarzanehrui_c_oval_line_2792_coords
canvas_editor_editor_ehr_tarzanehrui_c_oval_line_2794_coords,canvas_editor_editor_ehr_tarzanehrui_c_oval_line_2794_coords
canvas_editor_editor_ehr_tarzanehrui_c_polygon_line_2808_coords,canvas_editor_editor_ehr_tarzanehrui_c_polygon_line_2808_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1893_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1893_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1901_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1901_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1902_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1902_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1903_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1903_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1960_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1960_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2688_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2688_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2705_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2705_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2790_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2790_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2800_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2800_coords
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1911_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1911_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1920_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1920_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1953_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1953_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1954_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1954_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1981_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1981_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1982_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1982_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_2720_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_2720_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_2727_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_2727_text
