file,line,widget,type,scope,prop
editor/EHR/tarzanAxisSandbox.py,565,curve_canvas,Canvas,editor_ehr_tarzanaxissandbox,state
editor/EHR/tarzanAxisSandbox.py,573,step_canvas,Canvas,editor_ehr_tarzanaxissandbox,state
editor/EHR/tarzanEhrUi.py,727,canvas,Canvas,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,794,save_button,Button,editor_ehr_tarzanehrui,text
editor/EHR/tarzanEhrUi.py,952,protocol_holder,Frame,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,956,protocol_canvas,Canvas,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,967,row_frame,Frame,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,1512,curve_canvas,Canvas,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,1520,step_canvas,Canvas,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,2587,take_panel,Frame,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,2600,left,Frame,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,2608,timeline_canvas,Canvas,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,2617,status,Label,editor_ehr_tarzanehrui,text
editor/EHR/tarzanEhrUi.py,2625,selected_point_time_label,Label,editor_ehr_tarzanehrui,text
editor/EHR/tarzanEhrUi.py,2636,axis_info_label,Label,editor_ehr_tarzanehrui,text
editor/EHR/tarzanEhrUi.py,2641,protocol_label,Label,editor_ehr_tarzanehrui,text
editor/EHR/tarzanEhrUi.py,2645,protocol_box,Frame,editor_ehr_tarzanehrui,state
editor/EHR/tarzanEhrUi.py,2647,protocol_text,Text,editor_ehr_tarzanehrui,text
editor/PAR/tarzanNextionPreview.py,165,page_label,Label,editor_par_tarzannextionpreview,text
editor/PAR/tarzanNextionPreview.py,168,screen_frame,Frame,editor_par_tarzannextionpreview,state
editor/PAR/tarzanNextionPreview.py,171,screen_canvas,Canvas,editor_par_tarzannextionpreview,state
editor/PAR/tarzanNextionPreview.py,186,status,Label,editor_par_tarzannextionpreview,text
editor/PAR/tarzanParApp.py,466,header,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,468,body,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,470,footer,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,474,mode_label,Label,editor_par_tarzanparapp,text
editor/PAR/tarzanParApp.py,490,layout_master,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,493,left,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,494,top,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,495,middle_top,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,496,middle_bottom,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,497,bottom,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,498,right,Frame,editor_par_tarzanparapp,state
editor/PAR/tarzanParApp.py,506,clock,Label,editor_par_tarzanparapp,text
editor/PAR/tarzanParPanels.py,1242,timeline_canvas,Canvas,editor_par_tarzanparpanels,state
editor/PAR/tarzanParPanels.py,1738,log_text,Text,editor_par_tarzanparpanels,text
editor/PAR/tarzanParPanels_old.py,447,log_text,Text,editor_par_tarzanparpanels_old,text
editor/PAR/tarzanParWidgets.py,103,body,Frame,editor_par_tarzanparwidgets,state
editor/PAR/tarzanParWidgets.py,220,counter_label,Label,editor_par_tarzanparwidgets,text
editor/PAR/tarzanParWidgets.py,224,motor_canvas,Canvas,editor_par_tarzanparwidgets,state
editor/TarzanEhrTakeSandbox.py,521,canvas,Canvas,editor_tarzanehrtakesandbox,state
editor/TarzanEhrTakeSandbox.py,583,save_button,Button,editor_tarzanehrtakesandbox,text
editor/TarzanEhrTakeSandbox.py,708,protocol_holder,Frame,editor_tarzanehrtakesandbox,state
editor/TarzanEhrTakeSandbox.py,712,protocol_canvas,Canvas,editor_tarzanehrtakesandbox,state
editor/TarzanEhrTakeSandbox.py,724,row_frame,Frame,editor_tarzanehrtakesandbox,state
editor/TarzanEhrTakeSandbox.py,727,controls_wrap,Frame,editor_tarzanehrtakesandbox,state
editor/TarzanTakeProtocolLight.py,822,canvas,Canvas,editor_tarzantakeprotocollight,state
editor/TarzanTakeProtocolLight.py,905,save_button,Button,editor_tarzantakeprotocollight,text
editor/TarzanTakeProtocolLight.py,1111,protocol_holder,Frame,editor_tarzantakeprotocollight,state
editor/TarzanTakeProtocolLight.py,1115,protocol_canvas,Canvas,editor_tarzantakeprotocollight,state
editor/TarzanTakeProtocolLight.py,1134,row_frame,Frame,editor_tarzantakeprotocollight,state
editor/editor/EHR/tarzanAxisSandbox.py,564,curve_canvas,Canvas,editor_editor_ehr_tarzanaxissandbox,state
editor/editor/EHR/tarzanAxisSandbox.py,572,step_canvas,Canvas,editor_editor_ehr_tarzanaxissandbox,state
editor/editor/EHR/tarzanEhrUi.py,679,canvas,Canvas,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,746,save_button,Button,editor_editor_ehr_tarzanehrui,text
editor/editor/EHR/tarzanEhrUi.py,904,protocol_holder,Frame,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,908,protocol_canvas,Canvas,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,919,row_frame,Frame,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,1450,curve_canvas,Canvas,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,1458,step_canvas,Canvas,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,2241,take_panel,Frame,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,2254,left,Frame,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,2262,timeline_canvas,Canvas,editor_editor_ehr_tarzanehrui,state
editor/editor/EHR/tarzanEhrUi.py,2271,status,Label,editor_editor_ehr_tarzanehrui,text
